company,industry,title,description,Tag,date,url,icon
Uber,Delivery and mobility,On-call copilot for question-answering,Genie: Uber’s Gen AI On-Call Copilot,"generative AI,LLM,customer support",2024,https://www.uber.com/en-HR/blog/genie-ubers-gen-ai-on-call-copilot/?uclick_id=92508acc-3a86-4fcc-bc5f-ba1799e3055e,fa-truck
Meta,Social platforms,Animate AI-generated images,How Meta animates AI-generated images at scale,"generative AI,product feature,CV",2024,https://engineering.fb.com/2024/08/14/production-engineering/how-meta-animates-ai-generated-images-at-scale/,fa-users
MongoDB,Tech,Build RAG-based support chatbot,Taking RAG to Production with the MongoDB Documentation AI Chatbot,"RAG,LLM,customer support,chatbot",2024,https://www.mongodb.com/developer/products/atlas/taking-rag-to-production-documentation-ai-chatbot/,fa-microchip
Bell,Tech,Build RAG-based internal chatbot,[VIDEO] Modular Solutions for Knowledge Management at scale in RAG Systems,"RAG,LLM,chatbot",2024,https://www.youtube.com/watch?v=w5FZh0R4JaQ,fa-microchip
Doordash,Delivery and mobility,Improve search retrieval,How DoorDash leverages LLMs for better search retrieval,"RAG,LLM,search",2024,https://careersatdoordash.com/blog/how-doordash-leverages-llms-for-better-search-retrieval/,fa-truck
Vectorize,Tech,Create AI assistant with RAG,Creating a context-sensitive AI assistant: Lessons from building a RAG application,"RAG,LLM,generative AI",2024,https://vectorize.io/creating-a-context-sensitive-ai-assistant-lessons-from-building-a-rag-application/,fa-microchip
Royal Bank of Canada,Fintech and banking,Build RAG-based chatbot for financial sector,"[VIDEO] Arcane, an Internal RAG System to Pinpoint Investment Policies","RAG,LLM,chatbot",2024,https://www.youtube.com/watch?v=cqK42uTPUU4,fa-credit-card
Linkedin,Social platforms,Transform natural language questions into SQL,Practical text-to-SQL for data analytics,"RAG,LLM,chatbot",2024,https://www.linkedin.com/blog/engineering/ai/practical-text-to-sql-for-data-analytics,fa-users
Lemonade,Fintech and banking,Build customer-support GenAI agent,[VIDEO] RAG pain-points and solutions,"RAG,LLM,generative AI,customer support",2024,https://www.youtube.com/watch?v=XGJOU2sysjg,fa-credit-card
Linkedin,Social platforms,RAG system for customer service,[PAPER] Retrieval-Augmented Generation with Knowledge Graphs for Customer Service Question Answering,"RAG,LLM,customer support",2024,https://arxiv.org/pdf/2404.17723,fa-users
Stripe,Fintech and banking,Prevent fraudelent transactions,How we built it: Stripe Radar,fraud detection,2023,https://stripe.com/blog/how-we-built-it-stripe-radar,fa-credit-card
Walmart,E-commerce and retail,Recommend complementary items,Personalized ‘Complete the Look’ model,"recommender system,product feature,CV",2023,https://medium.com/walmartglobaltech/personalized-complete-the-look-model-ea093aba0b73,fa-shopping-cart
Uber,Delivery and mobility,Forecast demand for airport rides,Demand and ETR Forecasting at Airports,demand forecasting,2023,https://www.uber.com/en-GB/blog/demand-and-etr-forecasting-at-airports/,fa-truck
Pinterest,Social platforms,Prevent advertiser churn,An ML based approach to proactive advertiser churn prevention,churn prediction,2023,https://medium.com/pinterest-engineering/an-ml-based-approach-to-proactive-advertiser-churn-prevention-3a7c0c335016,fa-users
Swiggy,Delivery and mobility,Recommend items to order,Building a mind reader at Swiggy using Data Science,"product feature,recommender system",2023,https://bytes.swiggy.com/building-a-mind-reader-at-swiggy-using-data-science-5a5c38aa6c17,fa-truck
Microsoft,Tech,Diagnose production incidents with LLM,Large-language models for automatic cloud incident management,"ops,generative AI,product feature,LLM",2023,https://www.microsoft.com/en-us/research/blog/large-language-models-for-automatic-cloud-incident-management/,fa-microchip
Foodpanda,Delivery and mobility,Optimize menu sorting order,Menu Ranking,content personalization,2023,https://medium.com/foodpanda-data/menu-ranking-422ad21f381e,fa-truck
Zillow,E-commerce and retail,Estimate the house market value,Building the Neural Zestimate,pricing,2023,https://www.zillow.com/tech/building-the-neural-zestimate/,fa-shopping-cart
Airbnb,"Travel,E-commerce and retail",Identify user interests,Prioritizing Home Attributes Based on Guest Interest,"NLP,item classification,search",2023,https://medium.com/airbnb-engineering/prioritizing-home-attributes-based-on-guest-interest-3c49b827e51a,fa-home
GitHub,Tech,Generate code and code suggestions,Inside GitHub: Working with the LLMs behind GitHub Copilot,"product feature,generative AI,LLM",2023,https://github.blog/2023-05-17-inside-github-working-with-the-llms-behind-github-copilot/,fa-microchip
DoorDash,Delivery and mobility,Optimize courier waiting time,Lifecycle of a Successful ML Product: Reducing Dasher Wait Times,"product feature,ETA prediction",2023,https://doordash.engineering/2023/02/15/lifecycle-of-a-successful-ml-product-reducing-dasher-wait-times/,fa-truck
Linkedin,Social platforms,Select best payment gateway,Improving the customer’s experience via ML-driven payment routing,ops,2023,https://engineering.linkedin.com/blog/2023/improving-the-customer-s-experience-via-ml-driven-payment-routin,fa-users
Wayfair,E-commerce and retail,Predict delivery times,Delivery-Date Prediction,ETA prediction,2023,https://www.aboutwayfair.com/careers/tech-blog/delivery-date-prediction,fa-shopping-cart
Linkedin,Social platforms,Detect viral spam,Viral spam content detection at LinkedIn,spam / content moderation,2023,https://engineering.linkedin.com/blog/2023/viral-spam-content-detection-at-linkedin,fa-users
Lyft,Delivery and mobility,Recommend content in app,The Recommendation System at Lyft,recommender system,2023,https://eng.lyft.com/the-recommendation-system-at-lyft-67bc9dcc1793,fa-truck
Honeycomb,Tech,Generate queries with natural language,All the Hard Stuff Nobody Talks About when Building Products with LLMs,"NLP,product feature,generative AI,LLM",2023,https://www.honeycomb.io/blog/hard-stuff-nobody-talks-about-llm,fa-microchip
Zalando,E-commerce and retail,Forecast demand in fashion e-commerce,Deep Learning based Forecasting: a case study from the online fashion industry,demand forecasting,2023,https://arxiv.org/abs/2305.14406,fa-shopping-cart
Etsy,E-commerce and retail,Recommend relevant marketplace items,How We Built a Multi-Task Canonical Ranker for Recommendations at Etsy,recommender system,2023,https://www.etsy.com/uk/codeascraft/how-we-built-a-multi-task-canonical-ranker-for-recommendations-at-etsy,fa-shopping-cart
Yelp,Social platforms,Organize e-commerce content using embeddings,Yelp Content As Embeddings,"NLP,CV,item classification",2023,https://engineeringblog.yelp.com/2023/04/yelp-content-as-embeddings.html,fa-users
Monzo,Fintech and banking,Select relevant marketing messages ,Optimising marketing messages for Monzo users,"causality,content personalization",2023,https://medium.com/data-monzo/optimising-marketing-messages-for-monzo-users-3fe805f24572,fa-credit-card
Monzo,Fintech and banking,Detect patterns in text data,Using topic modelling to understand customer saving goals,"NLP,item classification",2023,https://medium.com/data-monzo/using-topic-modelling-to-understand-customer-saving-goals-2bb06f00ce2d,fa-credit-card
Wayfair,E-commerce and retail,Predict new product’s sales potential,How Wayfair uses “Predicted Winners” Models to Accelerate Success for New Products,demand forecasting,2023,https://www.aboutwayfair.com/careers/tech-blog/how-wayfair-uses-predicted-winners-models-to-accelerate-success-for-new-products,fa-shopping-cart
Airbnb,"Travel,E-commerce and retail",Personalized listing search,Learning To Rank Diversely,search,2023,https://medium.com/airbnb-engineering/learning-to-rank-diversely-add6b1929621,fa-home
Twitter,Social platforms,Recommend interesting tweets,Twitter's Recommendation Algorithm,recommender system,2023,https://blog.twitter.com/engineering/en_us/topics/open-source/2023/twitter-recommendation-algorithm ,fa-users
DoorDash,Delivery and mobility,Predict if a store is open,How DoorDash Upgraded a Heuristic with ML to Save Thousands of Canceled Orders,"product feature,ETA prediction",2023,https://doordash.engineering/2023/01/10/how-doordash-upgraded-a-heuristic-with-ml-to-save-thousands-of-canceled-orders/,fa-truck
Wayfair,E-commerce and retail,Identify business customers,Hamlet: Wayfair's ML Approach to Identifying Business Shopper,lead scoring,2023,https://www.aboutwayfair.com/careers/tech-blog/hamlet,fa-shopping-cart
Wayfair,E-commerce and retail,Detect fraud with embeddings,Introducing Melange: A Customer Journey Embedding System for Improving Fraud and Policy Abuse Detection,fraud detection,2023,https://www.aboutwayfair.com/careers/tech-blog/introducing-melange-a-customer-journey-embedding-system-for-improving-fraud-and-scam-detection,fa-shopping-cart
Airbnb,"Travel,E-commerce and retail",Improve travel search experience ,Building Airbnb Categories with ML & Human in the Loop,search,2023,https://medium.com/airbnb-engineering/building-airbnb-categories-with-ml-human-in-the-loop-35b78a837725,fa-home
Spotify,Media and streaming,Automatically generate ad content,How We Automated Content Marketing to Acquire Users at Scale,"ad ranking / targeting,content personalization",2023,https://engineering.atspotify.com/2023/11/how-we-automated-content-marketing-to-acquire-users-at-scale/,fa-music
Instacart,E-commerce and retail,Predict availability of food items,How Instacart Modernized the Prediction of Real Time Availability for Hundreds of Millions of Items While Saving Costs,demand forecasting,2023,https://tech.instacart.com/how-instacart-modernized-the-prediction-of-real-time-availability-for-hundreds-of-millions-of-items-59b2a82c89fe,fa-shopping-cart
Linkedin,Social platforms,Personalize the homepage feed,Enhancing homepage feed relevance by harnessing the power of large corpus sparse ID embeddings,content personalization,2023,https://engineering.linkedin.com/blog/2023/enhancing-homepage-feed-relevance-by-harnessing-the-power-of-lar,fa-users
Doordash,Delivery and mobility,Forecast order volumes and deliveries,How DoorDash Built an Ensemble Learning Model for Time Series Forecasting,demand forecasting,2023,https://doordash.engineering/2023/06/20/how-doordash-built-an-ensemble-learning-model-for-time-series-forecasting/,fa-truck
Expedia,"Travel,E-commerce and retail",Forecast flight prices,Using Synthetic Search Data for Flights Price Forecasting,"pricing,ops",2023,https://medium.com/expedia-group-tech/using-synthetic-search-data-for-flights-price-forecasting-4cf3277afdaf,fa-home
Nextdoor,Social platforms,Generate engaging email subject lines,Let AI Entertain You: Increasing User Engagement with Generative AI and Rejection Sampling,"generative AI,content personalization,LLM",2023,https://engblog.nextdoor.com/let-ai-entertain-you-increasing-user-engagement-with-generative-ai-and-rejection-sampling-50a402264f56,fa-users
Criteo,Tech,Figure out users' preferences,Recommender systems need a user model,recommender system,2023,https://medium.com/criteo-engineering/recommender-systems-need-a-user-model-c3b3790311bf,fa-microchip
Apple,Tech,Identify objects on images,Fast Class-Agnostic Salient Object Segmentation,CV,2023,https://machinelearning.apple.com/research/salient-object-segmentation,fa-microchip
Zillow,E-commerce and retail,Identify and block unwanted callers,SpectroBrain: Detecting Phone Spam with Semi-Supervised Learning,spam / content moderation,2023,https://www.zillow.com/tech/spectrobrain-detecting-phone-spam-with-semi-supervised-learning/,fa-shopping-cart
Algolia,Tech,Suggest relevant search queries,Feature Spotlight: Query Suggestions,"search,product feature",2023,https://www.algolia.com/blog/product/feature-spotlight-query-suggestions/,fa-microchip
Netflix,Media and streaming,In-video search,Building In-Video Search,search,2023,https://netflixtechblog.com/building-in-video-search-936766f0017c,fa-music
Grab,"Delivery and mobility,Banking and finance",Automatically tag sensitive data,LLM-powered data classification for data entities at scale,"generative AI,LLM",2023,https://engineering.grab.com/llm-powered-data-classification,fa-truck
Doordash,Delivery and mobility,Accurately forecast demand during holidays,How DoorDash Improves Holiday Predictions via Cascade ML Approach,demand forecasting,2023,https://doordash.engineering/2023/08/31/how-doordash-improves-holiday-predictions-via-cascade-ml-approach/,fa-truck
Netflix,Media and streaming,Personalize video clips,The Next Step in Personalization: Dynamic Sizzles,"content personalization,product feature",2023,https://netflixtechblog.com/the-next-step-in-personalization-dynamic-sizzles-4dc4ce2011ef,fa-music
BlaBlaCar,Delivery and mobility,Prevent phishing and payment fraud,How we used machine learning to fight fraud at BlaBlaCar — Part 1,fraud detection,2023,https://medium.com/blablacar/how-we-used-machine-learning-to-fight-fraud-at-blablacar-part-1-3b976c9dcdf6,fa-truck
Instacart,E-commerce and retail,Personalize user experience by recommending relevant products,Using Contextual Bandit models in large action spaces at Instacart,recommender system,2023,https://tech.instacart.com/using-contextual-bandit-models-in-large-action-spaces-at-instacart-cb7ab4d8fa4f,fa-shopping-cart
Pinterest,Social platforms,Recommend similar visual content,Training Foundation Improvements for Closeup Recommendation Ranker,recommender system,2023,https://medium.com/pinterest-engineering/training-foundation-improvements-for-closeup-recommendation-ranker-67d90603426e,fa-users
Spotify,Media and streaming,Recommend new complementary music,Spotify Track Neural Recommender System,recommender system,2023,https://medium.com/stanford-cs224w/spotify-track-neural-recommender-system-51d266e31e16,fa-music
Meta,Social platforms,Generate code with LLM,"Introducing Code Llama, a state-of-the-art large language model for coding","generative AI,LLM",2023,https://ai.meta.com/blog/code-llama-large-language-model-coding/,fa-users
Grammarly,Tech,Suggest gender-inclusive grammatical error corrections,Improving the Performance of NLP Systems on the Gender-Neutral “They”,NLP,2023,https://arxiv.org/abs/2306.07415,fa-microchip
Netflix,Media and streaming,Detect speech and music in audio,Detecting Speech and Music in Audio Content,product feature,2023,https://netflixtechblog.com/detecting-speech-and-music-in-audio-content-afd64e6a5bf8,fa-music
Salesforce,Tech,Extract relevant information from a knowledge article,Resolve Cases Quickly with Interactive Einstein Search Answers,search,2023,https://blog.salesforceairesearch.com/einstein-search-answers/,fa-microchip
Etsy,E-commerce and retail,Show relevant ads,Leveraging Real-Time User Actions to Personalize Etsy Ads,ad ranking / targeting,2023,https://arxiv.org/pdf/2302.01255.pdf,fa-shopping-cart
GitHub,Tech,AI copilot for code generation,How to build an enterprise LLM application: Lessons from GitHub Copilot,"generative AI,LLM",2023,https://github.blog/2023-09-06-how-to-build-an-enterprise-llm-application-lessons-from-github-copilot/,fa-microchip
Uber,Delivery and mobility,Detect potential fraudulent entities,Risk Entity Watch – Using Anomaly Detection to Fight Fraud,fraud detection,2023,https://www.uber.com/en-IN/blog/risk-entity-watch/?uclick_id=9c4355d3-795f-4b1d-b18e-4b8b4c8ed29f,fa-truck
Expedia,"Travel,E-commerce and retail",Predict Customer Lifetime Value (CLV),Expedia Group’s Customer Lifetime Value Prediction Model,propensity to buy,2023,https://medium.com/expedia-group-tech/expedia-groups-customer-lifetime-value-prediction-model-7927cdd44342,fa-home
Dailymotion,Media and streaming,Recommend diversified video content ,Reinvent your recommender system using Vector Database and Opinion Mining,recommender system,2023,https://medium.com/dailymotion/reinvent-your-recommender-system-using-vector-database-and-opinion-mining-a4fadf97d020,fa-music
Swiggy,Delivery and mobility,Predict food delivery time,Where is my order? — Part I,ETA prediction,2023,https://bytes.swiggy.com/how-ml-powers-when-is-my-order-coming-part-i-4ef24eae70da,fa-truck
Swiggy,Delivery and mobility,Сonversational and open-ended search,Swiggy’s Generative AI Journey: A Peek Into the Future,"generative AI,search,LLM",2023,https://bytes.swiggy.com/swiggys-generative-ai-journey-a-peek-into-the-future-2193c7166d9a,fa-truck
New York Times,Media and streaming,Recommend recipes to readers,How The New York Times Cooking Team Makes Personalized Recipe Recommendations,recommender system,2023,https://open.nytimes.com/how-the-new-york-times-cooking-team-makes-personalized-recipe-recommendations-7b86df9b22ec,fa-music
Expedia,"Travel,E-commerce and retail",Suggest diverse travel recommendations,Generating Diverse Travel Recommendations,recommender system,2023,https://medium.com/expedia-group-tech/generating-diverse-travel-recommendations-76688f49c812,fa-home
Stitch Fix,E-commerce and retail,Personalize styling recommendations,Accelerating AI: Implementing Multi-GPU Distributed Training for Personalized Recommendations,"ops,recommender system",2023,https://multithreaded.stitchfix.com/blog/2023/06/08/distributed-model-training/,fa-shopping-cart
Doordash,Delivery and mobility,Areas for using Generative AI,DoorDash identifies Five big areas for using Generative AI,"generative AI,LLM",2023,https://doordash.engineering/2023/04/26/doordash-identifies-five-big-areas-for-using-generative-ai/,fa-truck
Etsy,E-commerce and retail,Search by image,From Image Classification to Multitask Modeling: Building Etsy’s Search by Image Feature,"CV,search",2023,https://www.etsy.com/codeascraft/from-image-classification-to-multitask-modeling-building-etsys-search-by-image-feature,fa-shopping-cart
Spotify,Media and streaming,Generate audio podcast previews,Large-Scale Generation of ML Podcast Previews at Spotify with Google Dataflow,product feature,2023,https://engineering.atspotify.com/2023/04/large-scale-generation-of-ml-podcast-previews-at-spotify-with-google-dataflow/,fa-music
Delivery Hero,Delivery and mobility,Better understand user behavior ,Personalisation @ Delivery Hero: Understanding Customers,recommender system,2023,https://tech.deliveryhero.com/personalisation-at-delivery-hero-understanding-customers/,fa-truck
Swiggy,Delivery and mobility,Predict food delivery time,Predicting Food Delivery Time at Cart,ETA prediction,2023,https://bytes.swiggy.com/predicting-food-delivery-time-at-cart-cda23a84ba63,fa-truck
Netflix,Media and streaming,Generate content recommendations for users,Lessons Learnt From Consolidating ML Models in a Large Scale Recommendation System,recommender system,2023,https://netflixtechblog.medium.com/lessons-learnt-from-consolidating-ml-models-in-a-large-scale-recommendation-system-870c5ea5eb4a ,fa-music
Linkedin,Social platforms,Show relevant jobs in search,How LinkedIn Is Using Embeddings to Up Its Match Game for Job Seekers,search,2023,https://engineering.linkedin.com/blog/2023/how-linkedin-is-using-embeddings-to-up-its-match-game-for-job-se,fa-users
Expedia,"Travel,E-commerce and retail",Alert users about optimal deals,Increasing Travelers’ Engagement Through Price Alerts,"pricing,content personalization",2023,https://medium.com/expedia-group-tech/increasing-travelers-engagement-through-relevant-price-alerts-at-expedia-group-75aa6a377864,fa-home
Walmart,E-commerce and retail,Resolve entities and detect relationships,Exploring an Entity Resolution Framework Across Various Use Cases,"ops,item classificatiion",2023,https://medium.com/walmartglobaltech/exploring-an-entity-resolution-framework-across-various-use-cases-cb172632e4ae,fa-shopping-cart
Thoughtworks ,Tech,AI copilot for product strategy,Building Boba AI,"generative AI,LLM",2023,https://martinfowler.com/articles/building-boba.html,fa-microchip
Grab,"Delivery and mobility,Banking and finance",Automatically detect new fraud types,Unsupervised graph anomaly detection - Catching new fraudulent behaviours,fraud detection,2023,https://engineering.grab.com/graph-anomaly-model,fa-truck
Dropbox,Tech,Identify date formats in file names,Is this a date? Using ML to identify date formats in file names,"ops,product feature",2023,https://dropbox.tech/machine-learning/using-ml-to-identify-date-formats-in-file-names,fa-microchip
Grab,"Delivery and mobility,Banking and finance",Сreate scalable lookalike audiences ,Stepping up marketing for advertisers: Scalable lookalike audience,ad ranking / targeting,2023,https://engineering.grab.com/scalable-lookalike-audiences,fa-truck
Wayfair,E-commerce and retail,Send relevant communications to customers ,Griffin: How Wayfair Leverages Reinforcement Learning to Send Customers Relevant Communications,content personalization,2023,https://www.aboutwayfair.com/careers/tech-blog/griffin-how-wayfair-leverages-reinforcement-learning-to-send-customers-relevant-communications,fa-shopping-cart
Whatnot,E-commerce and retail,Detect marketplace spam,How Whatnot Utilizes Generative AI to Enhance Trust and Safety,"generative AI,spam/content moderation,LLM",2023,https://medium.com/whatnot-engineering/how-whatnot-utilizes-generative-ai-to-enhance-trust-and-safety-c7968eb6315e,fa-shopping-cart
Instacart,E-commerce and retail,Predict grocery item availability,How Instacart’s Item Availability Evolved Over the Pandemic,demand forecasting,2023,https://www.instacart.com/company/how-its-made/how-instacarts-item-availability-evolved-over-the-pandemic/,fa-shopping-cart
Instacart,E-commerce and retail,Predict availability of food items,Instacart’s Item Availability Architecture: Solving for scale and consistency,demand forecasting,2023,https://tech.instacart.com/instacarts-item-availability-architecture-solving-for-scale-and-consistency-f5661acb20a6,fa-shopping-cart
BlaBlaCar,Delivery and mobility,Prevent phishing and payment fraud,How we built our machine learning pipeline to fight fraud at BlaBlaCar — Part 2,fraud detection,2023,https://medium.com/blablacar/how-we-built-our-machine-learning-pipeline-to-fight-fraud-at-blablacar-part-2-476335f459b4,fa-truck
Salesforce,Tech,Summarize Slack conversations,"AI Summarist: Get Your Time Back on Slack, Boost Productivity & Focus, Personalize Information Consumption","generative AI,product feature,LLM",2023,https://blog.salesforceairesearch.com/ai-summarist-slack-productivity,fa-microchip
Meta,Social platforms,Show users relevant content at scale,Scaling the Instagram Explore recommendations system,recommender system,2023,https://engineering.fb.com/2023/08/09/ml-applications/scaling-instagram-explore-recommendations-system/,fa-users
Delivery Hero,Delivery and mobility,Recommend restaurants for new customers,Personalisation @ Delivery Hero: Ranking restaurants for new users,recommender system,2023,https://tech.deliveryhero.com/personalisation-delivery-hero-ranking-restaurants-for-new-users/,fa-truck
Swiggy,Delivery and mobility,Predict food delivery time,How ML Powers — When is my order coming? — Part II,ETA prediction,2023,https://bytes.swiggy.com/how-ml-powers-when-is-my-order-coming-part-ii-eae83575e3a9,fa-truck
Salesforce,Tech,Recommend apps in the marketplace,On the Diversity and Explainability of Enterprise App Recommendation Systems,recommender system,2023,https://blog.salesforceairesearch.com/diversity-explainability-enterprise-app-recommendation-systems/,fa-microchip
Grab,"Delivery and mobility,Banking and finance",Optimize promotional campaigns,Scaling marketing for merchants with targeted and intelligent promos,ad ranking / targeting,2023,https://engineering.grab.com/scaling-marketing-for-merchants,fa-truck
GitHub,Tech,Automated code reviews and PR tagging,Generative AI-enabled compliance for software development,generative AI,2023,https://github.blog/2023-04-11-generative-ai-enabled-compliance-for-software-development,fa-microchip
Delivery Hero,Delivery and mobility,Recommend restaurants,"Don’t Worry, We Got You: Personalised Model",recommender system,2023,https://tech.deliveryhero.com/dont-worry-we-got-you-personalised-model-2/,fa-truck
OLX,E-commerce and retail,Predict order delivery time,Machine Learning for Delivery Time Estimation,ETA prediction,2023,https://tech.olx.com/machine-learning-for-delivery-time-estimation-1-591c8df849a0,fa-shopping-cart
Spotify,Media and streaming,Target in-app messaging,Experimenting with Machine Learning to Target In-App Messaging,"content personalization,product feature",2023,https://engineering.atspotify.com/2023/06/experimenting-with-machine-learning-to-target-in-app-messaging/,fa-music
Nubank,Fintech and banking,Automatically route customer phone calls,"Presenting Precog, Nubank’s Real Time Event AI",product feature,2023,https://building.nubank.com.br/presenting-precog-nubanks-real-time-event-ai/,fa-credit-card
Instacart,E-commerce and retail,Build an internal AI assistant,Scaling Productivity with Ava — Instacart’s Internal AI Assistant,"generative AI,LLM",2023,https://tech.instacart.com/scaling-productivity-with-ava-instacarts-internal-ai-assistant-ed7f02558d84,fa-shopping-cart
Meta,Social platforms,Translate and transcribe across speech and text,Bringing the world closer together with a foundational multimodal model for speech translation,NLP,2023,https://ai.meta.com/blog/seamless-m4t/,fa-users
Vimeo,Media and streaming,Customer support AI assistant,From idea to reality: Elevating our customer support through generative AI,"generative AI,customer support,LLM",2023,https://medium.com/vimeo-engineering-blog/from-idea-to-reality-elevating-our-customer-support-through-generative-ai-101a2c5ea680,fa-music
BlaBlaCar,Delivery and mobility,Predict car booking confirmation,How BlaBlaCar leverages machine learning to match passengers and drivers - Part 2,product feature,2023,https://medium.com/blablacar/how-blablacar-leverages-machine-learning-to-match-passengers-and-drivers-part-2-5c69c7dd5105,fa-truck
BlaBlaCar,Delivery and mobility,Predict car booking confirmation,How BlaBlaCar leverages machine learning to match passengers and drivers - Part 1,product feature,2023,https://medium.com/blablacar/how-blablacar-matches-passengers-and-drivers-with-machine-learning-1cf151451f,fa-truck
Cars24,E-commerce and retail,Detect engine issues with sound analysis ,Engine assessment @CARS24 : Sound analysis using Signal Processing & CNN,ops,2023,https://medium.com/cars24-data-science-blog/engine-assessment-cars24-sound-analysis-using-signal-processing-cnn-c08f98d0b694,fa-shopping-cart
Haleon,Manufacturing,Organize and manage company media assets,Employing Computer Vision in Digital Asset Management (Part 1),CV,2023,https://medium.com/trusted-data-science-haleon/employing-computer-vision-in-digital-asset-management-207d21a68d9,fa-industry
Autotrader,E-commerce and retail,Predicting advertising performance,Demonstrating the Value of our Packages,ad ranking/targeting,2023,https://engineering.autotrader.co.uk/2023/03/24/demonstrating-the-value-of-our-advertising-packages.html,fa-shopping-cart
GitHub,Tech,Use cases for AI pair programmer,4 ways GitHub engineers use GitHub Copilot,ops,2023,https://github.blog/2024-04-09-4-ways-github-engineers-use-github-copilot/,fa-microchip
Linkedin,Social networks,Extract skill information from texts,Extracting skills from content to fuel the LinkedIn Skills Graph,"LLM,NLP,item classification,generative AI",2023,https://engineering.linkedin.com/blog/2023/extracting-skills-from-content-to-fuel-the-linkedin-skills-graph,fa-user-friends
GitHub,Tech,Improve AI pair programmer’s understanding,How GitHub Copilot is getting better at understanding your code,"LLM,product feature,generative AI",2023,https://github.blog/2023-05-17-how-github-copilot-is-getting-better-at-understanding-your-code/,fa-microchip
Honeycomb,Tech,Help users write data queries,So We Shipped an AI Product. Did it Work?,"LLM,generative AI",2023,https://www.honeycomb.io/blog/we-shipped-ai-product,fa-microchip
Dropbox,Tech,Prevent injection attacks on LLMs,Dont you (forget NLP): Prompt injection with control characters in ChatGPT,"LLM,generative AI",2023,https://dropbox.tech/machine-learning/prompt-injection-with-control-characters-openai-chatgpt-llm,fa-microchip
Instacart,E-commerce and retail,Optimize ad rankings ,One model to serve them all,ad ranking / targeting,2023,https://tech.instacart.com/one-model-to-serve-them-all-0eb6bf60b00d,fa-shopping-cart
Pinterest,Social platforms,Serve relevant content recommendations,Deep Multi-task Learning and Real-time Personalization for Closeup Recommendations,"product feature,recommender system",2023,https://medium.com/pinterest-engineering/deep-multi-task-learning-and-real-time-personalization-for-closeup-recommendations-1030edfe445f,fa-users
TomTom,Tech,Overview of generative AI use cases,Generative AI Journey at TomTom,"LLM,generative AI",2023,https://engineering.tomtom.com/GenAI-journey/,fa-microchip
Haleon,Manufacturing,Analyze consumer feedback,Deriving insights from customer queries on Haleon brands,"NLP,item classification",2023,https://medium.com/trusted-data-science-haleon/deriving-insights-from-customer-queries-on-haleon-brands-86f7e01b912c,fa-industry
Apple,Tech,Create a synthesized voice,Advancing Speech Accessibility with Personal Voice,product feature,2023,https://machinelearning.apple.com/research/personal-voice,fa-microchip
Uber,Delivery and mobility,Detect issues and anomalies in internal systems,uVitals – An Anomaly Detection & Alerting System,ops,2023,https://www.uber.com/en-GB/blog/uvitals-an-anomaly-detection-alerting-system/ ,fa-truck
Duolingo,Tech,Generate content for lessons,How Duolingo uses AI to create lessons faster,"LLM,generative AI",2023,https://blog.duolingo.com/large-language-model-duolingo-lessons/,fa-microchip
Doordash,Delivery and mobility,Personalize digital retail store page,Personalizing the DoorDash Retail Store Page Experience,recommender system,2023,https://doordash.engineering/2023/12/12/personalizing-the-doordash-retail-store-page-experience/,fa-truck
Expedia,"Travel,E-commerce and retail",Improve traveler recommendations,Candidate Generation Using a Two Tower Approach With Expedia Group Traveler Data,recommender system,2023,https://medium.com/expedia-group-tech/candidate-generation-using-a-two-tower-approach-with-expedia-group-traveler-data-ca6a0dcab83e,fa-home
Rovio,Gaming,Personalize game experience for individual players,MLOps at Rovio for Personalization Self Service Reinforcement Learning in Production,"content personalization,product feature",2023,https://www.youtube.com/watch?v=_Rqo6nooKKE,fa-gamepad
Canva,Tech,Automatically manage ad bids,End-to-end Keyword Bidding for Apple Search Ads,ad ranking/targeting,2023,https://www.canva.dev/blog/engineering/end-to-end-asa-keyword-bidding/,fa-microchip
Dropbox,Tech,Calculate expected revenue for subscription business,Accelerating our A/B experiments with machine learning,ops,2023,https://dropbox.tech/machine-learning/accelerating-our-a-b-experiments-with-machine-learning-xr,fa-microchip
ZipRecruiter,Tech,Match job-seekers with obs,Multimodal Learning for Employment Marketplace Recommendation,recommender system,2023,https://medium.com/ziprecruiter-tech/multimodal-learning-for-employment-marketplace-recommendation-ee67bdbede53,fa-microchip
Target,E-commerce and retail,Detect out-of-stock items,Solving for Product Availability with AI,"ops,demand forecasting",2023,https://tech.target.com/blog/solving-product-availability-with-ai,fa-shopping-cart
Coupang,E-commerce and retail,Predict the number of needed delivery trucks,Optimizing the inbound process with a machine learning model,demand forecasting,2023,https://medium.com/coupang-engineering/optimizing-the-inbound-process-with-a-machine-learning-model-2db48bbbc304,fa-shopping-cart
SumUp,Fintech and banking,Generate financial crime report narratives,Evaluating the performance of an LLM application that generates free-text narratives in the context of financial crime,"LLM,generative AI",2023,https://medium.com/inside-sumup/evaluating-the-performance-of-an-llm-application-that-generates-free-text-narratives-in-the-context-c402a0136518,fa-credit-card
Linkedin,Social networks,Detect harmful content ,Augmenting our content moderation efforts through machine learning and dynamic content prioritization,spam/content moderation,2023,https://engineering.linkedin.com/blog/2023/augmenting-our-content-moderation-efforts-through-machine-learni,fa-user-friends
